20150831000804;-56;0.22;2G;-101
20150831002345;-56;0.22;2G;-101
20150831003903;-56;0.22;2G;-101
20150831005444;-56;0.22;2G;-103
20150831010827;-56;0.22;2G;-107
20150831012350;-56;0.22;2G;-107
20150831013702;-56;0.21;2G;-107
20150831015154;-56;0.21;2G;-107
20150831020813;-56;0.21;2G;-107
20150831022233;-56;0.2;2G;-107
20150831023811;-56;0.2;2G;-107
20150831025308;-56;0.2;2G;-105
20150831030812;-56;0.2;2G;-107
20150831032201;-56;0.19;Unknown;-127
20150831033726;-56;0.19;2G;-105
20150831035223;-56;0.19;3G;-113
20150831040708;-56;0.19;Unknown;-99
20150831042240;-56;0.18;2G;-107
20150831043706;-56;0.18;2G;-105
20150831045259;-56;0.18;2G;-107
20150831050654;-56;0.18;2G;-107
20150831052236;-56;0.18;2G;-107
20150831053833;-56;0.18;Unknown;-99
20150831055157;-56;0.17;2G;-105
20150831060759;-56;0.17;2G;-105
20150831062155;-56;0.17;2G;-107
20150831063758;-56;0.17;2G;-107
20150831065157;-56;0.16;2G;-105
20150831070753;-56;0.16;2G;-107
20150831072204;-56;0.16;Unknown;-101
20150831073834;-56;0.15;Unknown;-103
20150831075238;-56;0.15;Unknown;-99
20150831080725;-56;0.14;Unknown;-105
20150831082203;-56;0.14;Unknown;-99
20150831083734;-56;0.13;Unknown;-99
20150831085300;-56;0.13;Unknown;-109
20150831090657;-56;0.12;Unknown;-127
20150831092202;-127;0.18;Unknown;-127
20150831093715;-53;0.29;2G;-99
20150831095158;-127;0.38;3G;-109
20150831100717;-127;0.41;2G;-85
20150831102154;-127;0.41;3G;-99
20150831103709;-127;0.42;3G;-127
20150831105213;-127;0.43;3G;-99
20150831110707;-127;0.41;3G;-113
20150831112155;-127;0.39;3G;-109
20150831113654;-127;0.38;3G;-113
20150831115210;-127;0.38;3G;-113
20150831120755;-127;0.37;3G;-113
20150831122238;-127;0.37;3G;-103
20150831123752;-127;0.37;3G;-107
20150831125155;-127;0.36;3G;-105
20150831130707;-127;0.32;3G;-113
20150831132207;-127;0.26;3G;-107
20150831133659;-127;0.25;3G;-85
20150831135221;-127;0.2;3G;-107
20150831161133;-127;0.24;3G;-105
20150831161207;-127;0.24;3G;-101
20150831161303;-127;0.23;3G;-101
20150831162756;-127;0.21;3G;-101
20150831164242;-127;0.19;3G;-95
20150831165751;-127;0.13;3G;-111
20150831171414;-127;0.13;Unknown;-127
20150831172821;-127;0.1;3G;-107
20150831174241;-127;0.06;3G;-113
20150831175745;-127;0.05;3G;-113
20150831181246;-127;0.09;3G;-127
20150831182852;-127;0.12;2G;-99
20150831184323;-127;0.18;3G;-109
20150831185744;-88;0.2;3G;-113
20150831191329;-47;0.15;Unknown;-127
20150831192913;-30;0.13;2G;-105
20150831194256;-58;0.11;2G;-103
20150831195802;-127;0.07;Unknown;-97
20150831201318;-87;0.09;3G;-101
20150831202758;-87;0.15;3G;-101
20150831204333;-87;0.23;3G;-101
20150831205748;-87;0.29;3G;-107
20150831211303;-127;0.28;3G;-109
20150831212814;-127;0.24;3G;-97
20150831214241;-127;0.19;3G;-113
20150831215751;-127;0.19;3G;-113
20150831221239;-66;0.15;2G;-101
20150831222820;-66;0.13;3G;-111
20150831224302;-73;0.1;3G;-107
20150831225741;-74;0.11;2G;-107
20150831231303;-74;0.11;Unknown;-107
20150831232739;-77;0.1;2G;-95
20150831234240;-72;0.09;3G;-113
20150831235804;-127;0.08;3G;-93
20150831161208;-71;0.05;3G;-109
20150901001258;-127;0.06;3G;-93
20150901002739;-69;0.05;3G;-105
20150901004239;-61;0.04;3G;-113
20150901005740;-127;0.04;3G;-89
20150901011244;-127;0.06;3G;-105
20150901014736;-67;0.06;3G;-111
20150901014819;-68;0.06;3G;-113
20150901015709;-62;0.1;3G;-109
20150901021230;-71;0.19;3G;-103
20150901022746;-64;0.31;2G;-109
20150901024459;-64;0.31;2G;-103
20150901025708;-64;0.31;2G;-109
20150901031252;-64;0.31;Unknown;-99
20150901032708;-64;0.31;Unknown;-95
20150901034318;-64;0.3;Unknown;-95
20150901035715;-64;0.29;2G;-113
20150901041242;-64;0.28;2G;-109
20150901042845;-64;0.27;Unknown;-103
20150901044417;-64;0.26;2G;-109
20150901045711;-64;0.26;2G;-109
20150901051236;-64;0.25;2G;-105
20150901052839;-64;0.24;2G;-105
20150901054404;-64;0.24;Unknown;-105
20150901055742;-64;0.23;Unknown;-107
20150901061303;-64;0.22;Unknown;-105
20150901062722;-69;0.2;3G;-105
20150901064248;-64;0.17;3G;-109
20150901065712;-127;0.13;3G;-99
20150901071211;-127;0.09;3G;-99
20150901072754;-127;0.05;3G;-127
20150901074208;-127;0.06;3G;-75
20150901075725;-127;0.06;3G;-127
20150901081218;-127;0.06;3G;-127
20150901082741;-127;0.06;3G;-95
20150901084215;-127;0.09;3G;-83
20150901085717;-127;0.24;3G;-87
20150901091235;-127;0.33;3G;-83
20150901092751;-127;0.45;3G;-83
20150901094227;-127;0.53;3G;-81
20150901095834;-127;0.61;3G;-89
20150901101309;-127;0.7;3G;-87
20150901102728;-127;0.74;3G;-99
20150901104257;-127;0.67;3G;-83
20150901105751;-127;0.65;3G;-127
20150901111216;-127;0.76;3G;-85
20150901112757;-127;0.87;3G;-87
20150901114230;-127;0.96;3G;-89
20150901115748;-127;0.97;3G;-77
20150901121221;-127;0.99;3G;-89
20150901122714;-127;0.98;3G;-127
20150901124237;-127;0.95;3G;-101
20150901125745;-127;0.93;Unknown;-97
20150901131228;-127;0.88;2G;-89
20150901132708;-127;0.85;3G;-91
20150901134249;-127;0.8;3G;-87
20150901135715;-127;0.81;3G;-85
20150901141220;-127;0.79;3G;-87
20150901142719;-127;0.77;3G;-87
20150901144230;-127;0.75;3G;-83
20150901145735;-127;0.73;3G;-107
20150901151227;-57;0.72;3G;-91
20150901152710;-48;0.71;3G;-99
20150901154340;-48;0.7;3G;-73
20150901155737;-48;0.7;3G;-69
20150901161240;-127;0.68;3G;-99
20150901162738;-127;0.71;3G;-99
20150901164227;-45;0.73;3G;-87
20150901165708;-49;0.76;3G;-91
20150901171255;-127;0.8;3G;-91
20150901172826;-40;0.83;3G;-93
20150901174325;-40;0.86;3G;-93
20150901175712;-40;0.89;3G;-89
20150901181229;-36;0.89;3G;-85
20150901182720;-127;0.85;3G;-79
20150901184238;-127;0.81;3G;-103
20150901185736;-127;0.79;2G;-97
20150901191352;-127;0.74;3G;-107
20150901192712;-54;0.68;2G;-105
20150901194234;-44;0.62;Unknown;-97
20150901195718;-54;0.57;2G;-101
20150901201208;-75;0.54;2G;-111
20150901202710;-51;0.48;2G;-109
20150901204230;-43;0.45;2G;-103
20150901205751;-43;0.4;2G;-97
20150901211222;-43;0.34;2G;-99
20150901212741;-53;0.28;Unknown;-99
20150901214229;-39;0.22;Unknown;-127
20150901215708;-71;0.18;Unknown;-113
20150901221219;-61;0.22;Unknown;-111
20150901222710;-64;0.25;3G;-113
20150901224216;-127;0.22;3G;-109
20150901225711;-127;0.18;3G;-73
20150901231228;-127;0.14;3G;-73
20150901232752;-127;0.16;3G;-83
20150901234223;-127;0.13;3G;-69
20150901235834;-127;0.12;3G;-89
20150901015057;-127;0.03;Unknown;-65
20150901015143;-127;0.03;Unknown;-127
20150902001210;-127;0.09;3G;-93
20150902002714;-127;0.07;3G;-111
20150902004319;-127;0.05;3G;-113
20150902005809;-127;0.05;3G;-101
20150902011311;-127;0.06;3G;-77
20150902012733;-127;0.05;3G;-97
20150902014319;-127;0.03;3G;-79
20150902022340;-127;0.03;3G;-97
20150902033552;-127;0.05;Unknown;-95
20150902033717;-127;0.05;Unknown;-95
20150902035104;-76;0.08;Unknown;-107
20150902040604;-76;0.09;Unknown;-107
20150902042205;-76;0.09;Unknown;-105
20150902043737;-76;0.09;Unknown;-111
20150902045105;-76;0.08;Unknown;-105
20150902050553;-76;0.08;Unknown;-103
20150902052114;-76;0.07;Unknown;-111
20150902053630;-76;0.06;Unknown;-99
20150902055208;-76;0.06;Unknown;-99
20150902060630;-76;0.06;Unknown;-103
20150902062052;-76;0.05;Unknown;-101
20150902063653;-76;0.05;Unknown;-101
20150902065354;-76;0.05;Unknown;-103
20150902070552;-76;0.05;Unknown;-103
20150902072055;-76;0.05;Unknown;-113
20150902073556;-76;0.04;Unknown;-101
20150902075108;-76;0.04;Unknown;-113
20150902080610;-76;0.04;Unknown;-99
20150902082053;-64;0.04;3G;-113
20150902083645;-64;0.02;3G;-109
20150902085128;-71;0.03;Unknown;-127
20150902085240;-69;0.03;3G;-111
20150902090636;-45;0.08;Unknown;-97
20150902092129;-127;0.1;3G;-111
20150902093639;-127;0.1;3G;-63
20150902095229;-127;0.08;3G;-105
20150902100639;-51;0.1;3G;-107
20150902102236;-51;0.15;3G;-103
20150902103712;-51;0.19;3G;-103
20150902105142;-51;0.24;3G;-105
20150902110648;-52;0.28;3G;-107
20150902112346;-62;0.35;3G;-107
20150902113631;-127;0.32;3G;-113
20150902115134;-127;0.25;3G;-107
20150902120632;-127;0.19;3G;-109
20150902122146;-127;0.12;3G;-111
20150902123632;-127;0.1;3G;-113
20150902125130;-127;0.09;3G;-87
20150902130657;-127;0.08;3G;-91
20150902132131;-127;0.06;3G;-67
20150902133651;-127;0.08;3G;-127
20150902135220;-127;0.06;3G;-99
20150902140716;-127;0.05;3G;-97
20150902142205;-127;0.03;3G;-83
20150902143641;-127;0.07;3G;-85
20150902145145;-127;0.13;3G;-91
20150902150651;-127;0.12;3G;-83
20150902152144;-127;0.18;3G;-127
20150902153640;-127;0.13;3G;-89
20150902155247;-127;0.22;3G;-77
20150902160657;-127;0.19;3G;-79
20150902162225;-127;0.17;3G;-81
20150902163628;-127;0.16;3G;-75
20150902165141;-127;0.14;3G;-81
20150902170642;-127;0.12;3G;-79
20150902172128;-127;0.11;3G;-81
20150902173636;-127;0.17;3G;-89
20150902175213;-127;0.31;3G;-87
20150902180629;-127;0.43;3G;-85
20150902182253;-127;0.55;3G;-83
20150902183657;-127;0.57;3G;-89
20150902185203;-127;0.57;3G;-95
20150902190632;-127;0.57;3G;-95
20150902192255;-127;0.58;3G;-93
20150902193643;-127;0.57;3G;-81
20150902195142;-127;0.56;3G;-87
20150902200630;-127;0.55;3G;-89
20150902202154;-127;0.57;3G;-83
20150902203704;-127;0.57;3G;-91
20150902205200;-127;0.54;3G;-127
20150902210713;-127;0.51;3G;-83
20150902212206;-127;0.47;3G;-85
20150902213636;-127;0.43;3G;-91
20150902215139;-127;0.39;3G;-85
20150902220628;-127;0.35;3G;-83
20150902222139;-127;0.32;3G;-91
20150902223727;-127;0.26;3G;-113
20150902225205;-127;0.24;3G;-113
20150902230732;-127;0.23;2G;-97
20150902232333;-68;0.2;2G;-95
20150902233646;-67;0.18;3G;-113
